tool_type,diameter_mm,operation,material,fixture,status,error_text,rpm,feed_mm_min,stepover_mm,depth_per_pass_mm,support_arm,chipload_state,chipload_detail,power_state,power_peak_kw,power_available_kw,power_detail,deflection_state,deflection_peak_mm,deflection_detail,depth_state,depth_peak_mm,depth_cap_mm,depth_cap_factor,depth_detail,diagnostic_ids_after_sim,diagnostic_severities_after_sim,elapsed_s
EndMill,6.0000,Pocket,softwood,square_40mm_polygon,ok,,9842.0000,3999.0000,1.6400,0.8333,VendorBacked,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0184,0.8000,,Within,0.0014,,Within,0.8333,1.2000,0.2000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,0.1
EndMill,6.0000,Pocket,hardwood,square_40mm_polygon,ok,,15748.0000,3999.0000,1.6290,0.8333,VendorBacked,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0468,0.8000,,Within,0.0021,,Within,0.8333,1.2000,0.2000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,0.1
EndMill,6.0000,Pocket,mdf,square_40mm_polygon,ok,,13123.0000,3999.0000,1.6330,0.8333,VendorBacked,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0379,0.8000,,Within,0.0021,,Within,0.8333,1.2000,0.2000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,0.1
EndMill,6.0000,Pocket,plywood_hardwood,square_40mm_polygon,ok,,15748.0000,3999.0000,1.6290,0.8333,VendorBacked,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0173,0.8000,,Within,0.0008,,Within,0.8333,1.2000,0.2000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,0.1
BullNose,6.0000,Pocket,softwood,square_40mm_polygon,ok,,10188.0000,3999.0000,1.6390,0.8333,Extrapolated,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0187,0.8000,,Within,0.0014,,Within,0.8333,1.2000,0.2000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,0.1
BullNose,6.0000,Pocket,hardwood,square_40mm_polygon,ok,,13585.0000,3999.0000,1.6320,0.8333,Extrapolated,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0432,0.8000,,Within,0.0023,,Within,0.8333,1.2000,0.2000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,0.1
BullNose,6.0000,Pocket,mdf,square_40mm_polygon,ok,,11644.0000,3999.0000,1.6360,0.8333,Extrapolated,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0357,0.8000,,Within,0.0023,,Within,0.8333,1.2000,0.2000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info,0.1
BullNose,6.0000,Pocket,plywood_hardwood,square_40mm_polygon,ok,,16000.0000,1600.0000,1.6060,0.8333,VendorBacked,Unmodeled,CutterModeUnsupported,Within,0.0139,0.8000,,Within,0.0006,,Within,0.8333,1.2000,0.2000,,feeds.long_tool_derate;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info,0.1
EndMill,6.0000,Profile,softwood,square_40mm_polygon,ok,,10610.0000,3165.0000,,0.8571,Extrapolated,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0107,0.8000,,Within,0.0011,,Within,0.8571,1.2000,0.2000,,feeds.long_tool_derate;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info,0.1
EndMill,6.0000,Profile,hardwood,square_40mm_polygon,ok,,8000.0000,4000.0000,,0.8571,Extrapolated,Unmodeled,SteadyStateSamplesNotPresent,Within,0.0231,0.8000,,Within,0.0033,,Within,0.8571,1.2000,0.2000,,feeds.long_tool_derate;feeds.rpm_lowered_for_ceiling;feeds.feed_clamped;feeds.aggressiveness_engagement;load.chipload.unmodeled;load.power.within;load.deflection.within;load.depth.within,Info;Info;Info;Info;Info;Info;Info;Info,0.1
